key,room_type,hotel_id,firstname,lastname,id_card,dob,room_status,priority
V101,VIP,Hotel 101,,,,,Available,70
V102,VIP,Hotel 101,Sara,Jones,2W5sPfMvOv,"10/24/1922",Occupy,71
V103,VIP,Hotel 101,,,,,Available,72
V201,VIP,Hotel 202,Jennifer,Cooley,X6LvHCSoM3,"09/21/1990",Occupy,73
V202,VIP,Hotel 202,,,,,Available,74
V203,VIP,Hotel 202,Christopher,Williams,vEUu9R2Oam,"06/09/1914",Occupy,75
V301,VIP,Hotel 303,,,,,Available,76
V302,VIP,Hotel 303,,,,,Available,77
V303,VIP,Hotel 303,,,,,Available,78
S101,Small,Hotel 101,,,,,Available,1
S102,Small,Hotel 101,,,,,Available,2
S103,Small,Hotel 101,Leslie,Carroll,bfnVBv5crv,"12/27/1974",Occupy,3
S104,Small,Hotel 101,,,,,Available,4
S105,Small,Hotel 101,,,,,Available,5
S106,Small,Hotel 101,Ryan,Freeman,bBbEManGT7,"01/28/1928",Occupy,6
S107,Small,Hotel 101,,,,,Available,7
S108,Small,Hotel 101,,,,,Available,8
S109,Small,Hotel 101,,,,,Available,9
S110,Small,Hotel 101,Thomas,Jones,CXOERDdWym,"09/13/1973",Occupy,10
S111,Small,Hotel 101,,,,,Available,11
S112,Small,Hotel 101,Kenneth,Page,MXLFaPiDfw,"07/31/1988",Occupy,12
S201,Small,Hotel 202,,,,,Available,13
S202,Small,Hotel 202,,,,,Available,14
S203,Small,Hotel 202,Kaitlyn,Knight,xzlsrGvOWc,"08/12/2007",Occupy,15
S204,Small,Hotel 202,Michael,Kim,ZikfBE9pzR,"01/07/1943",Occupy,16
S205,Small,Hotel 202,,,,,Available,17
S206,Small,Hotel 202,Michael,Bishop,avL1sETMTX,"06/08/1910",Occupy,18
S207,Small,Hotel 202,,,,,Available,19
S208,Small,Hotel 202,,,,,Available,20
S209,Small,Hotel 202,Melissa,Vargas,cQrBrFH22c,"03/06/1974",Occupy,21
S210,Small,Hotel 202,,,,,Available,22
S211,Small,Hotel 202,,,,,Available,23
S212,Small,Hotel 202,April,Hernandez,CWDRlAUsFZ,"02/05/2020",Occupy,24
S301,Small,Hotel 303,,,,,Available,25
S302,Small,Hotel 303,,,,,Available,26
S303,Small,Hotel 303,Wendy,Reed,4IS2X3YscO,"02/19/1942",Occupy,27
S304,Small,Hotel 303,,,,,Available,28
S305,Small,Hotel 303,,,,,Available,29
S306,Small,Hotel 303,,,,,Available,30
S307,Small,Hotel 303,Andre,Holland,aj64D6vt5j,"03/31/2005",Occupy,31
S308,Small,Hotel 303,,,,,Available,32
S309,Small,Hotel 303,,,,,Available,33
S310,Small,Hotel 303,Stephen,Mason,ZOM3VFv0tj,"03/14/1990",Occupy,34
S311,Small,Hotel 303,,,,,Available,35
S312,Small,Hotel 303,Lisa,Robinson,fpgo2S2nbn,"09/15/2004",Occupy,36
L101,Large,Hotel 101,,,,,Available,40
L102,Large,Hotel 101,Arthur,Whitaker,yO6Mi5L02J,"11/28/1919",Occupy,41
L103,Large,Hotel 101,John,Allen,8vLQb6OMYz,"10/26/1921",Occupy,42
L104,Large,Hotel 101,Olivia,Medina,0ReWr2SCQA,"09/24/1946",Occupy,43
L105,Large,Hotel 101,Samuel,Thompson,klRklYGcOb,"10/26/1992",Occupy,44
L201,Large,Hotel 202,,,,,Available,45
L202,Large,Hotel 202,,,,,Available,46
L203,Large,Hotel 202,,,,,Available,47
L204,Large,Hotel 202,Valerie,Riley,z3s8UHVwyv,"12/23/2000",Occupy,48
L205,Large,Hotel 202,,,,,Available,49
L301,Large,Hotel 303,Colleen,Brown,NpJDT9RfRp,"09/01/1919",Occupy,50
L302,Large,Hotel 303,,,,,Available,51
L303,Large,Hotel 303,,,,,Available,52
L304,Large,Hotel 303,Kimberly,Williamson,hbQ3QjzIXh,"02/04/1910",Occupy,53
L305,Large,Hotel 303,,,,,Available,54
